Source,Target,Guanxi
黑风山熊罴怪,观世音菩萨,2
黑水河鼍怪,西海龙王敖闰,2
黄风大圣,灵吉菩萨,2
黄袍怪,玉女,1
黄袍怪,二十八星宿,2
黄眉大王,弥勒佛,2
阴曹阎王,十代冥王,2
镇元大仙,如来佛祖,1
银角大王,太上老君,2
金角大王,太上老君,2
通天河鱼怪,观世音菩萨,2
观世音菩萨,玉皇大帝,1
观世音菩萨,如来佛祖,1
西海龙王敖闰,313,1
菩提祖师,如来佛祖,1
红孩儿,铁扇公主,1
红孩儿,观世音菩萨,2
红孩儿,牛魔王,1
百眼魔君,毗蓝婆菩萨,2
百眼魔君,314,1
白龙马,观世音菩萨,1
白龙马,西海龙王敖闰,1
白龙马,猪八戒,1
白龙马,沙和尚,1
白龙马,孙悟空,1
白龙马,唐僧,1
白鹿精,南极寿星,2
白骨精,314,1
琵琶洞蝎子精,314,1
王母娘娘,玉皇大帝,1
王母娘娘,如来佛祖,1
玉皇大帝,王母娘娘,1
玉皇大帝,如来佛祖,1
玉女,黄袍怪,1
猪八戒,观世音菩萨,1
猪八戒,嫦娥,1
猪八戒,唐僧,1
狮魔王,文殊菩萨,2
独角兕,太上老君,2
狐狸精,白鹿精,1
灵吉菩萨,如来佛祖,1
沙和尚,观世音菩萨,1
沙和尚,猪八戒,1
沙和尚,孙悟空,1
沙和尚,唐僧,1
毗蓝婆菩萨,如来佛祖,1
杨戬,王母娘娘,1
杨戬,玉皇大帝,1
木吒,观世音菩萨,1
木吒,托塔天王,1
普贤菩萨,如来佛祖,1
昴日星官,观世音菩萨,1
昴日星官,玉皇大帝,1
昴日星官,毗蓝婆菩萨,1
文殊菩萨,如来佛祖,1
摩昂太子,西海龙王敖闰,1
摩昂太子,孙悟空,1
托塔天王,观世音菩萨,1
托塔天王,玉皇大帝,1
弥勒佛,如来佛祖,1
巨灵神,托塔天王,1
孙悟空,观世音菩萨,1
孙悟空,菩提祖师,1
孙悟空,如来佛祖,1
孙悟空,唐僧,1
嫦娥,王母娘娘,1
太白金星,玉皇大帝,1
太上老君,玉皇大帝,1
唐僧,观世音菩萨,1
唐僧,李世民,1
唐僧,如来佛祖,1
哪吒,观世音菩萨,1
哪吒,托塔天王,2
哪吒,如来佛祖,1
南海龙王敖钦,313,1
南极寿星,玉皇大帝,1
南山大王,314,1
北海龙王敖顺,313,1
六耳猕猴,314,1
东海龙王敖广,313,1
四大天王,玉皇大帝,1
二十八星宿,玉皇大帝,1
九日翟星,玉皇大帝,1
十代冥王,玉皇大帝,1
十八罗汉,如来佛祖,1
八大金刚,如来佛祖,1
黄牙象怪,普贤菩萨,2
金吒,托塔天王,
金吒,如来佛祖,1
后羿,嫦娥,1
哮天犬,杨戬,2
催命判官,阴曹阎王,1
白无常,阴曹阎王,1
黑无常,阴曹阎王,1
青牛精,太上老君,2
313,玉皇大帝,1
